what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.navigator,3.4.2.M20100120-0800,"org.eclipse.ui.navigator",1413780166203
started,bundle,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.resources",1413780166218
started,bundle,org.eclipse.wst.jsdt.core,1.0.201.v2010012803,"org.eclipse.wst.jsdt.core",1413780166531
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.100.v200809240707,"org.eclipse.wst.jsdt.manipulation",1413780166859
started,bundle,org.eclipse.wst.jsdt.ui,1.0.201.v2010012803,"org.eclipse.wst.jsdt.ui",1413780166859
started,bundle,org.eclipse.emf.edit,2.5.0.v200906151043,"org.eclipse.emf.edit",1413780166937
started,bundle,org.eclipse.emf.common.ui,2.5.0.v200906151043,"org.eclipse.emf.common.ui",1413780166937
started,bundle,org.eclipse.emf.edit.ui,2.5.0.v200906151043,"org.eclipse.emf.edit.ui",1413780166937
started,bundle,org.eclipse.jst.j2ee.webservice.ui,1.1.300.v200902052230,"org.eclipse.jst.j2ee.webservice.ui",1413780166953
started,bundle,org.eclipse.wst.common.emf,1.1.301.v200908181930,"org.eclipse.wst.common.emf",1413780167000
started,bundle,org.eclipse.emf.ecore.xmi,2.5.0.v200906151043,"org.eclipse.emf.ecore.xmi",1413780167031
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.1.301.v200908101600,"org.eclipse.wst.common.emfworkbench.integration",1413780167031
started,bundle,org.eclipse.jst.j2ee.webservice,1.1.300.v200901220600,"org.eclipse.jst.j2ee.webservice",1413780167046
started,bundle,org.eclipse.jst.jee.ui,1.0.201.v201002021208,"org.eclipse.jst.jee.ui",1413780167187
started,bundle,org.eclipse.jst.j2ee.ui,1.1.301.v201001252130,"org.eclipse.jst.j2ee.ui",1413780167203
started,bundle,org.eclipse.jst.j2ee.navigator.ui,1.1.301.v201001252130,"org.eclipse.jst.j2ee.navigator.ui",1413780167203
started,bundle,org.eclipse.jst.j2ee.core,1.1.301.v200911302230,"org.eclipse.jst.j2ee.core",1413780167265
started,bundle,org.eclipse.jem,2.0.301.v201001252130,"org.eclipse.jem",1413780167296
started,bundle,org.eclipse.jst.jee,1.0.201.v201002021055,"org.eclipse.jst.jee",1413780167343
started,bundle,org.eclipse.jpt.core,2.2.1.v200908270220,"org.eclipse.jpt.core",1413780167453
started,bundle,org.eclipse.jpt.eclipselink.core,1.2.0.v200905310000,"org.eclipse.jpt.eclipselink.core",1413780167468
started,bundle,org.eclipse.wst.common.frameworks.ui,1.1.301.v200908101600,"org.eclipse.wst.common.frameworks.ui",1413780167531
started,bundle,org.eclipse.wst.xml.core,1.1.402.v201001222130,"org.eclipse.wst.xml.core",1413780167546
started,bundle,org.eclipse.wst.common.modulecore,1.1.301.v201001252130,"org.eclipse.wst.common.modulecore",1413780167656
started,bundle,org.eclipse.wst.validation,1.2.104.v200911120201,"org.eclipse.wst.validation",1413780167687
started,bundle,org.eclipse.jst.j2ee,1.1.301.v201001272230,"org.eclipse.jst.j2ee",1413780167750
opened,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1413780168312
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1413780168343
started,bundle,org.eclipse.team.svn.revision.graph,1.0.0.I20120601-1700,"org.eclipse.team.svn.revision.graph",1413780168734
started,bundle,org.eclipse.jst.servlet.ui,1.1.301.v200908101600,"org.eclipse.jst.servlet.ui",1413780170937
started,bundle,org.eclipse.compare,3.5.2.r35x_20100113-0800,"org.eclipse.compare",1413780174906
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413780177218
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413780200843
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.newWizard",1413780200859
opened,editor,com.cloudgarden.jigloo,4.6.3,"com.cloudgarden.jigloo.editors.FormEditor",1413780200984
activated,editor,com.cloudgarden.jigloo,4.6.3,"com.cloudgarden.jigloo.editors.FormEditor",1413780201031
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413780210265
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413780263234
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413780269921
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1413780281984
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413780283390
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413780295093
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413780307625
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413780312109
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413780316812
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413780320640
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413780326671
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413780338062
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413780347578
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413780353921
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413780359671
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413780371578
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413780376203
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413780385703
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413780389625
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413780404953
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413780407500
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413780419109
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413780419640
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1413780429703
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413780446656
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413780451500
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1413780471671
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1413780479656
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1413780479750
activated,editor,com.cloudgarden.jigloo,4.6.3,"com.cloudgarden.jigloo.editors.FormEditor",1413780527359
